Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 1 	 TrialTime 	 4.039562 	 ImageNumber 	 2 	 Dot 	 No 	 StimulusOn 	 4.186313 	 StimulusOff 	 4.702974 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 14 	 TrialTime 	 11.320613 	 ImageNumber 	 14 	 Dot 	 No 	 StimulusOn 	 11.353045 	 StimulusOff 	 11.869603 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 15 	 TrialTime 	 11.870571 	 ImageNumber 	 3 	 Dot 	 No 	 StimulusOn 	 11.902944 	 StimulusOff 	 12.419621 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 16 	 TrialTime 	 12.420627 	 ImageNumber 	 9 	 Dot 	 Yes 	 StimulusOn 	 12.452975 	 StimulusOff 	 12.969614 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 17 	 TrialTime 	 12.970591 	 ImageNumber 	 5 	 Dot 	 No 	 StimulusOn 	 13.002925 	 StimulusOff 	 13.519621 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 18 	 TrialTime 	 13.521050 	 ImageNumber 	 9 	 Dot 	 No 	 StimulusOn 	 13.552954 	 StimulusOff 	 14.069609 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 19 	 TrialTime 	 14.070567 	 ImageNumber 	 12 	 Dot 	 No 	 StimulusOn 	 14.102926 	 StimulusOff 	 14.619596 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 20 	 TrialTime 	 14.621588 	 ImageNumber 	 6 	 Dot 	 No 	 StimulusOn 	 14.652985 	 StimulusOff 	 15.169609 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 21 	 TrialTime 	 15.170502 	 ImageNumber 	 14 	 Dot 	 No 	 StimulusOn 	 15.203043 	 StimulusOff 	 15.719701 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 22 	 TrialTime 	 15.723411 	 ImageNumber 	 2 	 Dot 	 Yes 	 StimulusOn 	 15.752941 	 StimulusOff 	 16.269640 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 23 	 TrialTime 	 16.270528 	 ImageNumber 	 13 	 Dot 	 Yes 	 StimulusOn 	 16.302947 	 StimulusOff 	 16.819650 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 24 	 TrialTime 	 16.821267 	 ImageNumber 	 7 	 Dot 	 No 	 StimulusOn 	 16.852925 	 StimulusOff 	 17.369605 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 25 	 TrialTime 	 17.370953 	 ImageNumber 	 3 	 Dot 	 No 	 StimulusOn 	 17.402930 	 StimulusOff 	 17.919601 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 26 	 TrialTime 	 17.921076 	 ImageNumber 	 8 	 Dot 	 No 	 StimulusOn 	 17.952924 	 StimulusOff 	 18.469597 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 27 	 TrialTime 	 18.470540 	 ImageNumber 	 16 	 Dot 	 No 	 StimulusOn 	 18.502937 	 StimulusOff 	 19.019591 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 28 	 TrialTime 	 19.020652 	 ImageNumber 	 1 	 Dot 	 No 	 StimulusOn 	 19.052921 	 StimulusOff 	 19.569587 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 29 	 TrialTime 	 19.570624 	 ImageNumber 	 10 	 Dot 	 No 	 StimulusOn 	 19.602918 	 StimulusOff 	 20.119583 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 30 	 TrialTime 	 20.120779 	 ImageNumber 	 11 	 Dot 	 No 	 StimulusOn 	 20.152933 	 StimulusOff 	 20.669581 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 1 	 TrialTime 	 23.720054 	 ImageNumber 	 4 	 Dot 	 No 	 StimulusOn 	 23.769635 	 StimulusOff 	 24.286231 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 2 	 TrialTime 	 24.287261 	 ImageNumber 	 6 	 Dot 	 No 	 StimulusOn 	 24.319548 	 StimulusOff 	 24.836237 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 3 	 TrialTime 	 24.837291 	 ImageNumber 	 5 	 Dot 	 No 	 StimulusOn 	 24.886273 	 StimulusOff 	 25.402877 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 4 	 TrialTime 	 25.403858 	 ImageNumber 	 3 	 Dot 	 No 	 StimulusOn 	 25.436232 	 StimulusOff 	 25.952861 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 5 	 TrialTime 	 25.953860 	 ImageNumber 	 8 	 Dot 	 No 	 StimulusOn 	 25.986220 	 StimulusOff 	 26.502900 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 6 	 TrialTime 	 26.503840 	 ImageNumber 	 16 	 Dot 	 No 	 StimulusOn 	 26.536222 	 StimulusOff 	 27.052872 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 7 	 TrialTime 	 27.055292 	 ImageNumber 	 1 	 Dot 	 Yes 	 StimulusOn 	 27.102897 	 StimulusOff 	 27.619522 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 8 	 TrialTime 	 27.620492 	 ImageNumber 	 11 	 Dot 	 No 	 StimulusOn 	 27.652875 	 StimulusOff 	 28.169526 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 9 	 TrialTime 	 28.170496 	 ImageNumber 	 12 	 Dot 	 No 	 StimulusOn 	 28.219557 	 StimulusOff 	 28.736219 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 10 	 TrialTime 	 28.737251 	 ImageNumber 	 14 	 Dot 	 No 	 StimulusOn 	 28.769539 	 StimulusOff 	 29.286217 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 11 	 TrialTime 	 29.287359 	 ImageNumber 	 9 	 Dot 	 No 	 StimulusOn 	 29.319515 	 StimulusOff 	 29.836221 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 12 	 TrialTime 	 29.837223 	 ImageNumber 	 10 	 Dot 	 No 	 StimulusOn 	 29.869505 	 StimulusOff 	 30.386199 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 13 	 TrialTime 	 30.387187 	 ImageNumber 	 7 	 Dot 	 No 	 StimulusOn 	 30.419507 	 StimulusOff 	 30.936200 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 14 	 TrialTime 	 30.937176 	 ImageNumber 	 2 	 Dot 	 No 	 StimulusOn 	 30.969502 	 StimulusOff 	 31.486200 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 15 	 TrialTime 	 31.487131 	 ImageNumber 	 15 	 Dot 	 No 	 StimulusOn 	 31.519526 	 StimulusOff 	 32.036193 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 16 	 TrialTime 	 32.037184 	 ImageNumber 	 13 	 Dot 	 Yes 	 StimulusOn 	 32.069527 	 StimulusOff 	 32.586189 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 17 	 TrialTime 	 32.588950 	 ImageNumber 	 2 	 Dot 	 No 	 StimulusOn 	 32.619537 	 StimulusOff 	 33.136202 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 18 	 TrialTime 	 33.138277 	 ImageNumber 	 14 	 Dot 	 No 	 StimulusOn 	 33.169528 	 StimulusOff 	 33.686217 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 19 	 TrialTime 	 33.687207 	 ImageNumber 	 1 	 Dot 	 No 	 StimulusOn 	 33.719527 	 StimulusOff 	 34.236198 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 20 	 TrialTime 	 34.237709 	 ImageNumber 	 15 	 Dot 	 No 	 StimulusOn 	 34.269543 	 StimulusOff 	 34.786194 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 21 	 TrialTime 	 34.787201 	 ImageNumber 	 4 	 Dot 	 Yes 	 StimulusOn 	 34.819526 	 StimulusOff 	 35.336190 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 22 	 TrialTime 	 35.337255 	 ImageNumber 	 13 	 Dot 	 No 	 StimulusOn 	 35.369511 	 StimulusOff 	 35.886189 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 23 	 TrialTime 	 35.887145 	 ImageNumber 	 10 	 Dot 	 No 	 StimulusOn 	 35.919508 	 StimulusOff 	 36.436182 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 24 	 TrialTime 	 36.437667 	 ImageNumber 	 11 	 Dot 	 No 	 StimulusOn 	 36.469505 	 StimulusOff 	 36.986189 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 25 	 TrialTime 	 36.987147 	 ImageNumber 	 9 	 Dot 	 No 	 StimulusOn 	 37.019531 	 StimulusOff 	 37.536171 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 26 	 TrialTime 	 37.537205 	 ImageNumber 	 7 	 Dot 	 Yes 	 StimulusOn 	 37.569505 	 StimulusOff 	 38.086187 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 27 	 TrialTime 	 38.087095 	 ImageNumber 	 6 	 Dot 	 No 	 StimulusOn 	 38.119526 	 StimulusOff 	 38.636166 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 28 	 TrialTime 	 38.637256 	 ImageNumber 	 5 	 Dot 	 No 	 StimulusOn 	 38.669497 	 StimulusOff 	 39.186178 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 29 	 TrialTime 	 39.188081 	 ImageNumber 	 16 	 Dot 	 Yes 	 StimulusOn 	 39.219503 	 StimulusOff 	 39.736169 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 2.000000 	 BlockCondition 	 Colour 	 BlockTime 	 20.690931 	 TrialNumber 	 30 	 TrialTime 	 39.737074 	 ImageNumber 	 3 	 Dot 	 No 	 StimulusOn 	 39.769508 	 StimulusOff 	 40.286146 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 3.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 40.304885 	 TrialNumber 	 1 	 TrialTime 	 43.336563 	 ImageNumber 	 2 	 Dot 	 No 	 StimulusOn 	 43.386196 	 StimulusOff 	 43.902797 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 3.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 40.304885 	 TrialNumber 	 2 	 TrialTime 	 43.903914 	 ImageNumber 	 7 	 Dot 	 No 	 StimulusOn 	 43.936111 	 StimulusOff 	 44.452770 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 3.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 40.304885 	 TrialNumber 	 3 	 TrialTime 	 44.453787 	 ImageNumber 	 11 	 Dot 	 Yes 	 StimulusOn 	 44.486155 	 StimulusOff 	 45.002804 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 3.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 40.304885 	 TrialNumber 	 4 	 TrialTime 	 45.003747 	 ImageNumber 	 8 	 Dot 	 No 	 StimulusOn 	 45.036121 	 StimulusOff 	 45.552777 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 3.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 40.304885 	 TrialNumber 	 5 	 TrialTime 	 45.553753 	 ImageNumber 	 5 	 Dot 	 No 	 StimulusOn 	 45.586101 	 StimulusOff 	 46.102803 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 3.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 40.304885 	 TrialNumber 	 6 	 TrialTime 	 46.103690 	 ImageNumber 	 1 	 Dot 	 No 	 StimulusOn 	 46.136109 	 StimulusOff 	 46.652780 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 3.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 40.304885 	 TrialNumber 	 7 	 TrialTime 	 46.654413 	 ImageNumber 	 14 	 Dot 	 No 	 StimulusOn 	 46.686123 	 StimulusOff 	 47.202771 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 3.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 40.304885 	 TrialNumber 	 8 	 TrialTime 	 47.203766 	 ImageNumber 	 3 	 Dot 	 Yes 	 StimulusOn 	 47.236140 	 StimulusOff 	 47.752798 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 3.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 40.304885 	 TrialNumber 	 9 	 TrialTime 	 47.753856 	 ImageNumber 	 4 	 Dot 	 No 	 StimulusOn 	 47.786131 	 StimulusOff 	 48.302758 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 3.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 40.304885 	 TrialNumber 	 10 	 TrialTime 	 48.303796 	 ImageNumber 	 12 	 Dot 	 No 	 StimulusOn 	 48.336124 	 StimulusOff 	 48.852767 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 3.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 40.304885 	 TrialNumber 	 11 	 TrialTime 	 48.853807 	 ImageNumber 	 6 	 Dot 	 No 	 StimulusOn 	 48.886147 	 StimulusOff 	 49.402778 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 3.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 40.304885 	 TrialNumber 	 12 	 TrialTime 	 49.403939 	 ImageNumber 	 16 	 Dot 	 No 	 StimulusOn 	 49.436114 	 StimulusOff 	 49.952758 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 3.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 40.304885 	 TrialNumber 	 13 	 TrialTime 	 49.953618 	 ImageNumber 	 15 	 Dot 	 No 	 StimulusOn 	 49.986119 	 StimulusOff 	 50.502776 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 3.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 40.304885 	 TrialNumber 	 14 	 TrialTime 	 50.504494 	 ImageNumber 	 13 	 Dot 	 No 	 StimulusOn 	 50.536137 	 StimulusOff 	 51.052770 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 3.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 40.304885 	 TrialNumber 	 15 	 TrialTime 	 51.053713 	 ImageNumber 	 9 	 Dot 	 Yes 	 StimulusOn 	 51.086114 	 StimulusOff 	 51.602753 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 3.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 40.304885 	 TrialNumber 	 16 	 TrialTime 	 51.603725 	 ImageNumber 	 10 	 Dot 	 No 	 StimulusOn 	 51.636107 	 StimulusOff 	 52.152758 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 3.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 40.304885 	 TrialNumber 	 17 	 TrialTime 	 52.188659 	 ImageNumber 	 2 	 Dot 	 No 	 StimulusOn 	 52.219404 	 StimulusOff 	 52.736098 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 3.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 40.304885 	 TrialNumber 	 18 	 TrialTime 	 52.737020 	 ImageNumber 	 16 	 Dot 	 No 	 StimulusOn 	 52.769423 	 StimulusOff 	 53.286097 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 3.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 40.304885 	 TrialNumber 	 19 	 TrialTime 	 53.287175 	 ImageNumber 	 8 	 Dot 	 No 	 StimulusOn 	 53.319434 	 StimulusOff 	 53.836096 	 ButtonPressed 	 0.000000 	 
